45	10	48	4	12	31	31	10	25	46	35	30	14	35	37	34	36	19	23	29
24	24	45	20	3	15	35	6	25	24	17	40	40	4	21	28	26	5	10	40
6	49	4	41	10	17	14	42	14	32	21	4	17	49	44	25	25	8	29	48
39	39	2	9	40	29	43	9	42	34	22	8	14	47	43	21	23	41	26	25
5	42	12	16	37	38	17	45	7	11	34	9	26	5	7	37	50	29	10	37
30	28	17	7	48	50	35	27	45	6	43	5	22	47	11	47	43	10	18	33
3	21	36	9	24	33	16	1	49	39	10	29	16	49	11	4	13	9	5	28
44	14	3	23	27	14	16	6	21	38	4	38	4	21	32	17	34	22	24	43
24	10	5	49	13	12	3	8	32	41	40	38	16	14	38	32	21	5	50	43
33	19	3	20	28	18	15	20	4	31	41	20	3	48	5	42	44	26	11	14
33	7	49	21	6	46	24	21	27	30	42	28	13	43	3	6	33	11	19	17
1	1	12	8	7	12	29	9	3	29	40	27	32	29	35	37	41	47	38	33
1	14	25	1	29	27	4	17	9	3	39	40	40	38	44	34	8	38	45	24
34	17	27	29	42	29	22	4	46	41	50	35	9	7	40	39	36	40	14	40
11	13	45	25	38	32	34	19	12	6	25	30	20	12	38	33	28	10	37	30
15	26	47	21	26	48	26	50	36	21	20	7	31	14	42	2	10	40	42	30
39	48	9	23	42	20	10	31	36	10	22	37	4	23	18	26	30	28	42	33
25	7	47	14	44	19	20	21	40	2	14	46	5	38	21	20	30	24	50	50
29	50	36	11	32	28	21	49	33	4	15	30	30	40	24	44	46	14	44	23
13	43	30	24	45	15	31	19	30	26	44	11	35	9	18	37	16	27	41	29
14	11	14	11	8	32	15	32	2	14	19	42	22	28	34	29	23	20	35	28
26	41	32	8	2	33	16	9	10	14	50	37	12	27	17	49	19	17	12	5
38	31	8	45	3	42	24	34	41	8	47	38	26	37	11	42	2	22	31	21
9	48	5	13	45	6	36	35	12	47	47	29	42	11	30	49	48	32	39	26
46	30	27	49	3	4	17	2	5	35	35	35	8	44	22	6	32	20	25	17
15	48	10	25	4	45	36	32	50	15	4	42	22	13	16	46	27	13	34	35
44	48	15	43	47	16	21	8	21	3	25	6	24	8	50	49	18	8	15	30
41	14	10	19	11	39	13	22	5	13	31	37	33	29	24	49	50	47	6	41
29	13	7	18	23	28	36	2	12	14	37	21	15	6	11	45	40	26	3	11
40	44	14	26	32	35	34	13	10	36	17	33	40	38	46	39	19	27	49	7
43	38	37	36	14	6	35	48	36	40	29	50	15	29	9	9	36	14	16	37
22	2	6	31	26	18	29	22	31	22	1	29	25	16	35	9	27	9	16	15
5	15	4	33	29	25	30	13	23	43	45	16	40	6	23	41	41	2	19	6
39	46	44	19	19	48	48	24	20	5	15	42	41	46	23	2	37	44	15	43
14	48	35	13	40	22	11	31	20	7	32	33	47	6	41	26	45	45	23	7
47	16	40	29	27	7	33	12	24	34	21	48	49	12	22	39	47	37	29	43
18	47	6	32	25	5	14	31	22	31	44	41	1	37	45	4	40	50	46	21
26	39	1	24	38	2	38	49	16	29	43	32	5	49	25	31	41	36	2	3
26	40	48	26	11	48	15	31	21	22	45	1	1	21	1	39	18	49	33	41
37	14	26	8	45	12	18	8	37	29	27	41	41	27	2	35	10	21	32	42
